NodeIndex,GeneSymbol,AAA,PAD,AMI,Stroke,HeartFailure
640,RSC1A1,0,0,0,0,0
641,POFUT1,0,0,0,0,0
642,COX5B,0,0,0,0,0
643,RAD17,0,0,0,0,0
644,DBT,0,0,0,0,0
645,PREB,0,0,0,0,0
646,SRPK1,0,0,0,0,0
647,ALOX5AP,0,0,0,0,0
648,GALE,0,0,0,0,0
649,FAM53C,0,0,0,0,0
650,PSMC6,0,0,0,0,0
651,NUDT21,0,0,0,0,0
652,IFT88,0,0,0,0,0
653,NAA35,0,0,0,0,0
654,OTC,0,0,0,1,0
655,FNBP1L,0,0,0,0,0
656,RPS23,0,0,0,0,0
657,CDS2,0,0,0,0,0
658,IST1,0,0,0,0,0
659,STRADA,0,0,0,0,1
660,RORC,0,0,0,0,0
661,MELK,0,0,0,0,0
662,SURF1,0,0,0,0,1
663,ITGB6,0,0,0,0,0
664,APMAP,0,0,0,0,0
665,RNF128,0,0,0,0,0
666,SRSF12,0,0,0,0,0
667,PANX1,0,0,0,0,0
668,CPB1,0,0,0,0,0
669,CD34,0,1,0,0,0
670,CEP55,0,0,0,0,0
671,DSG2,0,0,0,0,0
672,ALG1,0,0,0,0,0
673,CABYR,0,0,0,0,0
674,MRPS18A,0,0,0,0,0
675,RAG2,0,0,0,0,0
676,NOL12,0,0,0,0,0
677,PSME1,0,0,0,0,0
678,PDCD4,0,0,0,0,0
679,NMRAL1,0,0,0,0,0
680,CHMP6,0,0,0,0,0
681,WDR43,0,0,0,0,0
682,AP2A2,0,0,0,0,0
683,KDM2A,0,0,0,0,0
684,MCOLN1,0,0,0,0,0
685,HAAO,0,0,0,0,0
686,TWIST2,0,0,0,0,0
687,SRSF2,0,0,0,0,0
688,CYBA,0,0,0,0,0
689,CPA2,0,0,0,0,0
690,KNG1,1,0,0,1,0
691,CKMT1B,0,0,0,0,0
692,PRPS1,0,0,0,0,0
693,IFI44,0,0,0,0,0
694,CRYM,0,0,0,0,0
695,KCNA1,0,0,0,0,0
696,SMKR1,0,0,0,0,0
697,AKAP10,0,0,0,0,0
698,CEACAM5,0,0,0,0,0
699,MRPL33,0,0,0,0,0
700,G3BP2,0,0,0,0,0
701,YIF1A,0,0,0,0,0
702,PALB2,0,0,0,0,0
703,IRAK2,0,0,0,0,0
704,AVPR2,0,0,0,0,0
705,SHLD2,0,0,0,0,0
706,B3GALNT1,0,0,0,0,0
707,USH2A,0,0,0,0,0
708,KRT17,0,0,0,0,0
709,MKS1,0,0,0,0,0
710,KHDRBS1,0,0,0,0,0
711,MS4A12,0,0,0,0,0
712,USP36,0,0,0,1,0
713,FEM1C,0,0,0,0,0
714,DECR1,0,0,0,0,0
715,LAMB3,0,0,0,0,0
716,GNRH2,0,0,0,0,0
717,KLC3,0,0,0,0,0
718,ENY2,0,0,0,0,0
719,PRDM2,0,0,0,0,0
720,CCDC65,0,0,0,0,0
721,KCNJ2,0,0,0,0,0
722,UBE2N,0,0,0,0,0
723,AK8,0,0,0,0,0
724,NME8,0,0,0,0,0
725,CALML5,0,0,0,0,0
726,GINS1,0,0,0,0,0
727,GBA,0,0,0,0,0
728,TENT4A,0,0,0,0,0
729,LDHAL6A,0,0,0,0,0
730,CTRB1,0,0,0,0,0
731,PRM1,0,0,0,0,0
732,BDH2,0,0,0,0,0
733,SH2B3,0,0,1,1,0
734,CSNK2B-2,0,0,0,0,0
735,ACAP2,0,0,0,0,0
736,ZIC4,0,0,0,0,0
737,RARA,0,0,0,0,0
738,SST,0,0,0,0,0
739,TTC21B,0,0,0,0,0
740,FADS1,0,0,0,0,0
741,IGF2,1,0,0,0,0
742,SRGN,0,0,0,0,0
743,DDX49,0,0,0,0,0
744,KCNIP2,0,0,0,0,0
745,CSNK2A2,0,0,0,0,0
746,UBN1,0,0,0,0,0
747,PRM2,0,0,0,0,0
748,RTCA,0,0,0,0,0
749,SCRN2,0,0,0,0,0
750,EFHC1,0,0,0,0,0
751,SGO1,0,0,0,0,0
752,INSIG1,0,0,0,0,0
753,SEC31A,0,0,0,0,0
754,POM121C,0,0,0,0,0
755,ATP5F1A,0,1,0,0,0
756,MATR3,0,0,0,0,0
757,PAK1IP1,0,0,0,0,0
758,POSTN,1,0,0,0,0
759,INTS9,0,0,0,0,0
760,DNAJB11,0,0,0,0,0
761,MOG,0,0,0,0,0
762,GSTM4,0,0,0,0,0
763,VPS8,0,0,0,0,0
764,DMD,0,0,0,0,1
765,CYP2S1,0,0,0,0,0
766,TNRC6C,0,0,0,0,0
767,PLA2G6,0,0,0,0,0
768,PEBP1,1,0,0,0,0
769,SLC25A5,0,0,0,0,0
770,CLN3,0,0,0,0,0
771,TAZ,0,0,0,0,1
772,RALBP1,0,0,0,0,0
