Index1,Index2,Protein1,Protein2,score,InteractionType
8535,8121,SEMA3F,NRP2,999,Protein_Protein
8535,5948,SEMA3F,PLXNA3,999,Protein_Protein
4859,6184,CFTR,PRKACG,976,Protein_Protein
4859,4643,CFTR,RNF5,979,Protein_Protein
4859,1203,CFTR,CANX,936,Protein_Protein
4859,244,CFTR,PRSS1,854,Protein_Protein
4859,7423,CFTR,GOPC,992,Protein_Protein
4859,332,CFTR,CLCA2,829,Protein_Protein
4859,4143,CFTR,SCNN1B,895,Protein_Protein
4859,8353,CFTR,PDZD3,882,Protein_Protein
4859,3328,CFTR,SLC26A9,910,Protein_Protein
4859,493,CFTR,SLC26A4,767,Protein_Protein
4859,4948,CFTR,HSPB1,780,Protein_Protein
4859,7283,CFTR,YWHAB,944,Protein_Protein
4859,7697,CFTR,PRKAG3,901,Protein_Protein
4859,6991,CFTR,DERL1,917,Protein_Protein
4859,3842,CFTR,TJP1,964,Protein_Protein
4859,6060,CFTR,PRKACA,982,Protein_Protein
4859,2926,CFTR,CTRC,774,Protein_Protein
4859,6392,CFTR,SLC26A3,888,Protein_Protein
4859,7385,CFTR,DNAJB1,825,Protein_Protein
4859,1908,CFTR,KRT8,752,Protein_Protein
4859,5297,CFTR,SLC12A2,816,Protein_Protein
4859,5530,CFTR,PRKAG1,922,Protein_Protein
4859,7029,CFTR,SCNN1G,886,Protein_Protein
4859,5272,CFTR,GUCY2C,825,Protein_Protein
4859,1056,CFTR,PRKAB2,944,Protein_Protein
4859,7441,CFTR,HSPA8,986,Protein_Protein
4859,5631,CFTR,GUCA2B,769,Protein_Protein
4859,3691,CFTR,SLC9A3R2,975,Protein_Protein
4859,35,CFTR,AHSA1,867,Protein_Protein
4859,4435,CFTR,BCAP31,808,Protein_Protein
4859,37,CFTR,PRKAB1,908,Protein_Protein
4859,6974,CFTR,HSP90AA1,986,Protein_Protein
4859,113,CFTR,KCNJ1,925,Protein_Protein
4859,6152,CFTR,GUCA2A,805,Protein_Protein
4859,5571,CFTR,FLNA,957,Protein_Protein
4859,7608,CFTR,PRKAG2,905,Protein_Protein
4859,4751,CFTR,YWHAG,914,Protein_Protein
4859,8232,CFTR,ANO1,882,Protein_Protein
4859,7541,CFTR,SCNN1A,821,Protein_Protein
4859,1159,CFTR,PRKAA1,953,Protein_Protein
4859,8757,CFTR,PRKACB,976,Protein_Protein
4859,6915,CFTR,HSPA4,925,Protein_Protein
4859,4426,CFTR,VCP,938,Protein_Protein
4859,2543,CFTR,HSP90AB1,964,Protein_Protein
4859,3865,CFTR,PRKAA2,907,Protein_Protein
4859,6661,CFTR,SPINK1,888,Protein_Protein
4859,5643,CFTR,SLC26A6,921,Protein_Protein
4859,2073,CFTR,PDZK1,969,Protein_Protein
4859,5776,CFTR,NEDD4L,764,Protein_Protein
4859,5146,CFTR,USP10,935,Protein_Protein
4859,6994,CFTR,DNAJA1,849,Protein_Protein
4859,2900,CFTR,EZR,898,Protein_Protein
4859,8696,CFTR,YWHAZ,917,Protein_Protein
4859,405,CFTR,HDAC6,848,Protein_Protein
4859,7941,CFTR,SLC9A3R1,999,Protein_Protein
4859,3379,CFTR,CLCA1,838,Protein_Protein
4859,3190,CFTR,SLC9A3,828,Protein_Protein
4859,5572,CFTR,STUB1,970,Protein_Protein
7053,5459,CYP51A1,NSDHL,989,Protein_Protein
7053,752,CYP51A1,INSIG1,840,Protein_Protein
7053,5284,CYP51A1,DHCR24,992,Protein_Protein
7053,7492,CYP51A1,CYB5R3,782,Protein_Protein
7053,5248,CYP51A1,SIGMAR1,985,Protein_Protein
7053,6050,CYP51A1,MVK,782,Protein_Protein
7053,1663,CYP51A1,HSD3B1,846,Protein_Protein
7053,1744,CYP51A1,HMGCS1,984,Protein_Protein
7053,1335,CYP51A1,POR,960,Protein_Protein
7053,3170,CYP51A1,FDPS,886,Protein_Protein
7053,3891,CYP51A1,ERG28,995,Protein_Protein
7053,406,CYP51A1,EGR2,755,Protein_Protein
7053,3908,CYP51A1,HSD3B7,844,Protein_Protein
7053,4955,CYP51A1,SC5D,987,Protein_Protein
7053,1486,CYP51A1,FDFT1,997,Protein_Protein
7053,4386,CYP51A1,HSD17B7,996,Protein_Protein
7053,21,CYP51A1,HSD3B2,820,Protein_Protein
7053,7561,CYP51A1,SREBF1,772,Protein_Protein
7053,2146,CYP51A1,PGRMC1,867,Protein_Protein
7053,2676,CYP51A1,MVD,869,Protein_Protein
7053,2737,CYP51A1,SREBF2,918,Protein_Protein
7053,4779,CYP51A1,SDR42E1,792,Protein_Protein
7053,4487,CYP51A1,DHCR7,978,Protein_Protein
7053,4388,CYP51A1,LBR,993,Protein_Protein
7053,2267,CYP51A1,LSS,999,Protein_Protein
7053,2719,CYP51A1,HMGCS2,921,Protein_Protein
7053,3002,CYP51A1,CYB5A,764,Protein_Protein
7053,5258,CYP51A1,CH25H,976,Protein_Protein
7053,6587,CYP51A1,IDI2,852,Protein_Protein
7053,308,CYP51A1,FAXDC2,972,Protein_Protein
7053,3478,CYP51A1,IDI1,942,Protein_Protein
7053,1469,CYP51A1,PPIG,891,Protein_Protein
7053,253,CYP51A1,SQLE,998,Protein_Protein
7053,6242,CYP51A1,HMGCR,948,Protein_Protein
7053,7095,CYP51A1,CYB5B,767,Protein_Protein
7053,7049,CYP51A1,TM7SF2,996,Protein_Protein
7053,5167,CYP51A1,MSMO1,996,Protein_Protein
4327,3113,USP28,RPS27A,932,Protein_Protein
4327,3660,USP28,TP53BP1,998,Protein_Protein
4327,3403,USP28,USP5,816,Protein_Protein
4327,7996,USP28,UBC,991,Protein_Protein
4327,1196,USP28,USP2,772,Protein_Protein
4327,4160,USP28,USP13,760,Protein_Protein
4327,6985,USP28,UBA52,951,Protein_Protein
4327,5632,USP28,UBB,930,Protein_Protein
4327,7518,USP28,USP14,766,Protein_Protein
4327,3144,USP28,MYC,966,Protein_Protein
4327,6544,USP28,CHEK2,852,Protein_Protein
4327,3847,USP28,CLSPN,900,Protein_Protein
4327,2019,USP28,USP8,844,Protein_Protein
4327,7600,USP28,FBXW7,966,Protein_Protein
4327,5349,USP28,TP53,806,Protein_Protein
